Project name, date added(YYYY-MM-DD), link to YML file
Corn Crusher,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Corn%20Crusher.yml
Cotton to yarn maker,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Cotton%20to%20yarn%20maker.yml
Crawler Harness Holder,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Crawler%20Harness%20Holder.yml
CubeSat Attitude System Airbearing Test Bed,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-CubeSat%20Attitude%20System%20Airbearing%20Test%20Bed.yml
Custom Built 3D Printable Motor,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Custom%20Built%203D%20Printable%20Motor.yml
Custom Shovel Handle,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Custom%20Shovel%20Handle.yml
Customizable Bike Light Mount,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Customizable%20Bike%20Light%20Mount.yml
Customizable shovel handle,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Customizable%20shovel%20handle.yml
DIF Adobe Senior Center,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-DIF%20Adobe%20Senior%20Center.yml
DIF Adobe Senior Center 2007,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-DIF%20Adobe%20Senior%20Center%202007.yml
DIY Solar Panel,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-DIY%20Solar%20Panel.yml
Daily menstrual cycle tracker,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Daily%20menstrual%20cycle%20tracker.yml
Dental Chair,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Dental%20Chair.yml
Depth-adjustable Rope Pump,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Depth-adjustable%20Rope%20Pump.yml
Design of a low-cost household water treatment system,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Design%20of%20a%20low-cost%20household%20water%20treatment%20system.yml
Dew collection roof retrofit,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Dew%20collection%20roof%20retrofit.yml
Dial Indicator,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Dial%20Indicator.yml
Direct drive extrusion hot end for flexible materials,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Direct%20drive%20extrusion%20hot%20end%20for%20flexible%20materials.yml
Disaster Relief Housing Platform,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Disaster%20Relief%20Housing%20Platform.yml
Drip irrigation stake,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Drip%20irrigation%20stake.yml
Drone Search and Rescue supplies attachment (DJI Phantom 3),2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Drone%20Search%20and%20Rescue%20supplies%20attachment%20(DJI%20Phantom%203).yml
Drop Spindle for Spinning Wool into Yarn,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Drop%20Spindle%20for%20Spinning%20Wool%20into%20Yarn.yml
Dual Tone Air RaidSecurity Siren,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Dual%20Tone%20Air%20RaidSecurity%20Siren.yml
Dust Mask,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Dust%20Mask.yml
E305 backyard biodigester,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-E305%20backyard%20biodigester.yml
Electric Mountain Board,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Electric%20Mountain%20Board.yml
Electric Whisk,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Electric%20Whisk.yml
Electronic Stethoscope,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Electronic%20Stethoscope.yml
Electroplating holder,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Electroplating%20holder.yml
Ergonomic Ice Scraper,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Ergonomic%20Ice%20Scraper.yml
Ergonomic bike grips,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Ergonomic%20bike%20grips.yml
Ethanol from organic sugar beets versus refined cane sugar,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Ethanol%20from%20organic%20sugar%20beets%20versus%20refined%20cane%20sugar.yml
FBP Hot Dang Plastic Encasement,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-FBP%20Hot%20Dang%20Plastic%20Encasement.yml
FBP LC Sheller,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-FBP%20LC%20Sheller.yml
FBP The Full Bell,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-FBP%20The%20Full%20Bell.yml
Fecal Sample Collection Kit,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Fecal%20Sample%20Collection%20Kit.yml
Field Dressing Tool,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Field%20Dressing%20Tool.yml
Field Ready Design - ECG Lead Holder,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Field%20Ready%20Design%20-%20ECG%20Lead%20Holder.yml
Field Ready Design - Nebuliser,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Field%20Ready%20Design%20-%20Nebuliser.yml
Field Ready Design - Nebuliser Connector,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Field%20Ready%20Design%20-%20Nebuliser%20Connector.yml
Filament Extruder,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Filament%20Extruder.yml
Fish Cleaning Tool,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Fish%20Cleaning%20Tool.yml
Fish Hook Extractor,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Fish%20Hook%20Extractor.yml
Fishing Pole Rod Holder,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Fishing%20Pole%20Rod%20Holder.yml
Flash Light,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Flash%20Light.yml
Flock House Biopod,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Flock%20House%20Biopod.yml
Flock House EcoDermis,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Flock%20House%20EcoDermis.yml
Flock House Geared-Up From the Feet-Up,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Flock%20House%20Geared-Up%20From%20the%20Feet-Up.yml
Flock House Handcar Generator,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Flock%20House%20Handcar%20Generator.yml
Flock House Hyper Visible Power Meter,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Flock%20House%20Hyper%20Visible%20Power%20Meter.yml
Flowmeter,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Flowmeter.yml
ForcepsTweezers,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-ForcepsTweezers.yml
Fork Support for Bike,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Fork%20Support%20for%20Bike.yml
Framing Spacer,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Framing%20Spacer.yml
Free-Libre Hardware RFID handheld device,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Free-Libre%20Hardware%20RFID%20handheld%20device.yml
Fruit Picker,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Fruit%20Picker.yml
Fruit crusher,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Fruit%20crusher.yml
Fuel Container Restraint,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Fuel%20Container%20Restraint.yml
Fully Printable Wild Berry Scoop Picker,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Fully%20Printable%20Wild%20Berry%20Scoop%20Picker.yml
Fume Extractor,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Fume%20Extractor.yml
GPS Belt Clip,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-GPS%20Belt%20Clip.yml
Garden Hose Splitter,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Garden%20Hose%20Splitter.yml
